feature_name,feature_type
year,original
ai_software_revenue_in_billions,original
global_ai_market_value_in_billions,original
ai_adoption_%,original
organizations_using_ai,original
organizations_planning_to_implement_ai,original
global_expectation_for_ai_adoption_%,original
estimated_jobs_eliminated_by_ai_millions,original
estimated_new_jobs_created_by_ai_millions,original
net_job_loss_in_the_us,original
organizations_believing_ai_provides_competitive_edge,original
companies_prioritizing_ai_in_strategy,original
estimated_revenue_increase_from_ai_trillions_usd,original
marketers_believing_ai_improves_email_revenue,original
expected_increase_in_employee_productivity_due_to_ai_%,original
americans_using_voice_assistants_%,original
digital_voice_assistants_billions_of_devices,original
medical_professionals_using_ai_for_diagnosis,original
ai_contribution_to_healthcare_in_billions,original
jobs_at_high_risk_of_automation__transportation_&_storage_%,original
jobs_at_high_risk_of_automation__wholesale_&_retail_trade,original
jobs_at_high_risk_of_automation__manufacturing,original
ai_software_revenue_in_billions_yoy_growth,engineered
ai_software_revenue_in_billions_cumulative_growth,engineered
ai_software_revenue_in_billions_rolling_2y_growth,engineered
ai_software_revenue_in_billions_growth_acceleration,engineered
global_ai_market_value_in_billions_yoy_growth,engineered
global_ai_market_value_in_billions_cumulative_growth,engineered
global_ai_market_value_in_billions_rolling_2y_growth,engineered
global_ai_market_value_in_billions_growth_acceleration,engineered
organizations_using_ai_yoy_growth,engineered
organizations_using_ai_cumulative_growth,engineered
organizations_using_ai_rolling_2y_growth,engineered
organizations_using_ai_growth_acceleration,engineered
estimated_revenue_increase_from_ai_trillions_usd_yoy_growth,engineered
estimated_revenue_increase_from_ai_trillions_usd_cumulative_growth,engineered
estimated_revenue_increase_from_ai_trillions_usd_rolling_2y_growth,engineered
estimated_revenue_increase_from_ai_trillions_usd_growth_acceleration,engineered
ai_software_revenue_in_billions_ma_2,engineered
ai_software_revenue_in_billions_std_2,engineered
ai_software_revenue_in_billions_above_ma_2,engineered
ai_software_revenue_in_billions_ma_3,engineered
ai_software_revenue_in_billions_std_3,engineered
ai_software_revenue_in_billions_above_ma_3,engineered
ai_software_revenue_in_billions_ma_5,engineered
ai_software_revenue_in_billions_std_5,engineered
ai_software_revenue_in_billions_above_ma_5,engineered
ai_software_revenue_in_billions_trend_slope,engineered
ai_software_revenue_in_billions_trend_r_squared,engineered
ai_software_revenue_in_billions_detrended,engineered
global_ai_market_value_in_billions_ma_2,engineered
global_ai_market_value_in_billions_std_2,engineered
global_ai_market_value_in_billions_above_ma_2,engineered
global_ai_market_value_in_billions_ma_3,engineered
global_ai_market_value_in_billions_std_3,engineered
global_ai_market_value_in_billions_above_ma_3,engineered
global_ai_market_value_in_billions_ma_5,engineered
global_ai_market_value_in_billions_std_5,engineered
global_ai_market_value_in_billions_above_ma_5,engineered
global_ai_market_value_in_billions_trend_slope,engineered
global_ai_market_value_in_billions_trend_r_squared,engineered
global_ai_market_value_in_billions_detrended,engineered
organizations_using_ai_ma_2,engineered
organizations_using_ai_std_2,engineered
organizations_using_ai_above_ma_2,engineered
organizations_using_ai_ma_3,engineered
organizations_using_ai_std_3,engineered
organizations_using_ai_above_ma_3,engineered
organizations_using_ai_ma_5,engineered
organizations_using_ai_std_5,engineered
organizations_using_ai_above_ma_5,engineered
organizations_using_ai_trend_slope,engineered
organizations_using_ai_trend_r_squared,engineered
organizations_using_ai_detrended,engineered
estimated_revenue_increase_from_ai_trillions_usd_ma_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_std_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_above_ma_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_ma_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_std_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_above_ma_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_ma_5,engineered
estimated_revenue_increase_from_ai_trillions_usd_std_5,engineered
estimated_revenue_increase_from_ai_trillions_usd_above_ma_5,engineered
estimated_revenue_increase_from_ai_trillions_usd_trend_slope,engineered
estimated_revenue_increase_from_ai_trillions_usd_trend_r_squared,engineered
estimated_revenue_increase_from_ai_trillions_usd_detrended,engineered
ai_software_revenue_in_billions_lag_1,engineered
ai_software_revenue_in_billions_diff_lag_1,engineered
ai_software_revenue_in_billions_ratio_lag_1,engineered
ai_software_revenue_in_billions_lag_2,engineered
ai_software_revenue_in_billions_diff_lag_2,engineered
ai_software_revenue_in_billions_ratio_lag_2,engineered
ai_software_revenue_in_billions_lag_3,engineered
ai_software_revenue_in_billions_diff_lag_3,engineered
ai_software_revenue_in_billions_ratio_lag_3,engineered
global_ai_market_value_in_billions_lag_1,engineered
global_ai_market_value_in_billions_diff_lag_1,engineered
global_ai_market_value_in_billions_ratio_lag_1,engineered
global_ai_market_value_in_billions_lag_2,engineered
global_ai_market_value_in_billions_diff_lag_2,engineered
global_ai_market_value_in_billions_ratio_lag_2,engineered
global_ai_market_value_in_billions_lag_3,engineered
global_ai_market_value_in_billions_diff_lag_3,engineered
global_ai_market_value_in_billions_ratio_lag_3,engineered
organizations_using_ai_lag_1,engineered
organizations_using_ai_diff_lag_1,engineered
organizations_using_ai_ratio_lag_1,engineered
organizations_using_ai_lag_2,engineered
organizations_using_ai_diff_lag_2,engineered
organizations_using_ai_ratio_lag_2,engineered
organizations_using_ai_lag_3,engineered
organizations_using_ai_diff_lag_3,engineered
organizations_using_ai_ratio_lag_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_lag_1,engineered
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_1,engineered
estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_1,engineered
estimated_revenue_increase_from_ai_trillions_usd_lag_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_2,engineered
estimated_revenue_increase_from_ai_trillions_usd_lag_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_diff_lag_3,engineered
estimated_revenue_increase_from_ai_trillions_usd_ratio_lag_3,engineered
revenue_per_org_using_ai,engineered
market_efficiency_ratio,engineered
job_creation_ratio,engineered
net_job_impact,engineered
adoption_momentum,engineered
ai_software_revenue_in_billions_momentum_index,engineered
ai_software_revenue_in_billions_upper_band,engineered
ai_software_revenue_in_billions_lower_band,engineered
ai_software_revenue_in_billions_band_position,engineered
ai_software_revenue_in_billions_volatility,engineered
ai_software_revenue_in_billions_zscore,engineered
global_ai_market_value_in_billions_momentum_index,engineered
global_ai_market_value_in_billions_upper_band,engineered
global_ai_market_value_in_billions_lower_band,engineered
global_ai_market_value_in_billions_band_position,engineered
global_ai_market_value_in_billions_volatility,engineered
global_ai_market_value_in_billions_zscore,engineered
organizations_using_ai_momentum_index,engineered
organizations_using_ai_upper_band,engineered
organizations_using_ai_lower_band,engineered
organizations_using_ai_band_position,engineered
organizations_using_ai_volatility,engineered
organizations_using_ai_zscore,engineered
estimated_revenue_increase_from_ai_trillions_usd_momentum_index,engineered
estimated_revenue_increase_from_ai_trillions_usd_upper_band,engineered
estimated_revenue_increase_from_ai_trillions_usd_lower_band,engineered
estimated_revenue_increase_from_ai_trillions_usd_band_position,engineered
estimated_revenue_increase_from_ai_trillions_usd_volatility,engineered
estimated_revenue_increase_from_ai_trillions_usd_zscore,engineered
years_since_start,engineered
cycle_position,engineered
early_period,engineered
mid_period,engineered
late_period,engineered
year_sin,engineered
year_cos,engineered
investment_attractiveness,engineered
job_risk_level,engineered
market_acceleration,engineered
competition_intensity,engineered
