country,ai_and_ml_popularity
Vietnam,100.0
China,72.0
Romania,63.0
Italy,54.0
Myanmar (Burma),51.0
Philippines,44.0
South Korea,39.0
Singapore,35.0
Pakistan,33.0
Nepal,32.0
Malaysia,31.0
Sri Lanka,31.0
Hong Kong,31.0
Indonesia,30.0
Bangladesh,28.0
Kenya,26.0
Taiwan,25.0
United Arab Emirates,25.0
India,24.0
Morocco,24.0
Ghana,22.0
Tunisia,22.0
Canada,22.0
Australia,20.0
Nigeria,20.0
Bolivia,20.0
New Zealand,19.0
Switzerland,19.0
Japan,18.0
United States,18.0
Algeria,18.0
Lithuania,18.0
Sweden,17.0
Israel,17.0
Portugal,17.0
Norway,17.0
Ireland,17.0
Brazil,16.0
South Africa,16.0
France,16.0
Belgium,16.0
United Kingdom,16.0
Denmark,15.0
Thailand,15.0
Netherlands,15.0
Chile,14.0
Finland,14.0
Egypt,14.0
Czechia,14.0
Peru,13.0
Mexico,13.0
Ecuador,13.0
Hungary,12.0
Austria,12.0
Germany,12.0
Bulgaria,12.0
Serbia,11.0
Croatia,11.0
Venezuela,11.0
Slovakia,11.0
Poland,10.0
Greece,10.0
Argentina,10.0
Colombia,10.0
Iraq,10.0
Kazakhstan,9.0
Saudi Arabia,9.0
Spain,9.0
Russia,7.0
Ukraine,7.0
TÃ¼rkiye,6.0
Iran,4.0
